event_id,user_id,event_type,timestamp
1,878,transfer,2026-02-27 02:58:52.969179
2,843,login,2026-03-10 19:23:05.969179
3,574,transfer,2026-02-04 21:38:05.969179
4,724,payment_click,2026-02-10 19:27:31.969179
5,252,transfer,2026-01-05 06:29:02.969179
6,608,payment_click,2026-01-28 12:46:55.969179
7,721,transfer,2026-02-04 23:18:42.969179
8,569,transfer,2026-02-24 01:51:20.969179
9,234,transfer,2026-01-06 19:38:21.969179
10,358,transfer,2026-02-12 22:26:46.969179
11,326,transfer,2026-02-04 21:45:43.969179
12,65,transfer,2026-01-30 12:40:59.969179
13,293,payment_click,2026-02-16 00:39:17.969179
14,324,login,2026-01-03 09:42:55.969179
15,991,payment_click,2026-01-25 14:52:08.969179
16,331,transfer,2026-03-15 16:01:28.969179
17,529,payment_click,2026-03-07 23:00:32.969179
18,135,transfer,2026-03-05 20:43:08.969179
19,820,payment_click,2026-01-11 15:37:30.969179
20,419,login,2026-01-06 17:54:43.969179
21,130,login,2026-03-25 16:49:42.969179
22,936,transfer,2026-01-28 19:28:30.969179
23,549,transfer,2026-01-05 06:24:43.969179
24,762,transfer,2025-12-29 11:03:45.969179
25,569,transfer,2026-01-30 18:33:06.969179
26,357,login,2026-03-04 09:37:41.969179
27,522,payment_click,2026-02-14 02:59:45.969179
28,460,login,2026-03-04 21:19:01.969179
29,593,login,2026-01-21 11:15:48.969179
30,942,login,2026-03-21 12:06:46.969179
31,602,payment_click,2025-12-31 17:36:00.969179
32,901,transfer,2026-02-27 01:34:26.969179
33,901,transfer,2026-01-11 14:27:05.969179
34,632,login,2026-01-31 23:07:14.969179
35,614,login,2026-02-21 02:06:32.969179
36,495,login,2026-01-30 07:43:42.969179
37,539,login,2026-02-18 19:50:27.969179
38,261,transfer,2026-03-17 04:05:54.969179
39,573,login,2026-03-08 14:06:22.969179
40,136,payment_click,2026-02-22 17:29:10.969179
41,927,payment_click,2026-02-05 00:35:49.969179
42,609,transfer,2026-01-09 22:50:35.969179
43,661,login,2026-03-15 13:10:34.969179
44,227,login,2026-03-25 01:32:54.969179
45,789,transfer,2026-03-09 13:05:37.969179
46,819,transfer,2026-01-28 10:55:41.969179
47,847,transfer,2026-03-14 11:14:04.969179
48,228,login,2026-02-28 20:14:18.969179
49,827,login,2026-02-27 05:19:24.969179
50,761,login,2026-03-19 01:14:27.969179
51,258,login,2026-01-08 08:52:06.969179
52,414,login,2025-12-30 18:32:10.969179
53,826,login,2026-02-06 01:04:01.969179
54,220,login,2026-03-16 15:14:51.969179
55,977,transfer,2026-03-16 15:50:29.969179
56,236,login,2026-01-16 03:26:30.969179
57,20,transfer,2026-02-12 11:29:06.969179
58,424,login,2026-03-27 11:02:33.969179
59,413,transfer,2026-02-15 22:28:53.969179
60,389,login,2026-03-18 21:40:39.969179
61,345,login,2026-01-20 08:50:58.969179
62,650,login,2026-01-21 16:31:33.969179
63,467,payment_click,2026-02-28 11:06:55.969179
64,189,transfer,2026-03-11 14:37:43.969179
65,617,transfer,2026-01-29 02:36:06.969179
66,368,payment_click,2026-03-04 09:32:50.969179
67,385,transfer,2026-02-25 16:03:52.969179
68,943,login,2026-03-17 07:00:09.969179
69,98,login,2026-03-23 06:52:52.969179
70,953,payment_click,2026-03-04 20:21:47.969179
71,270,transfer,2026-02-26 18:01:37.969179
72,665,login,2026-03-19 09:18:57.969179
73,218,payment_click,2026-03-23 04:58:08.969179
74,21,transfer,2025-12-30 04:47:10.969179
75,272,transfer,2026-02-25 00:06:42.969179
76,714,transfer,2026-01-23 20:16:22.969179
77,160,login,2026-03-20 16:13:27.969179
78,492,transfer,2026-01-02 11:11:23.969179
79,429,payment_click,2026-02-16 22:37:47.969179
80,576,login,2026-02-03 19:40:38.969179
81,596,login,2026-01-07 06:55:06.969179
82,585,transfer,2026-03-19 19:51:17.969179
83,572,login,2026-03-14 18:37:03.969179
84,866,login,2026-03-22 14:12:07.969179
85,991,transfer,2026-01-06 23:11:13.969179
86,659,login,2026-02-22 07:14:12.969179
87,47,login,2026-03-24 05:13:17.969179
88,223,login,2026-01-15 17:03:42.969179
89,960,login,2026-02-16 11:02:33.969179
90,158,login,2026-03-17 06:56:22.969179
91,47,login,2026-01-25 21:42:53.969179
92,984,transfer,2026-03-19 19:54:02.969179
93,801,transfer,2026-01-23 10:26:16.969179
94,722,transfer,2026-01-04 21:29:43.969179
95,533,login,2026-01-17 01:11:59.969179
96,351,transfer,2026-02-19 17:23:37.969179
97,319,login,2026-02-24 18:21:53.969179
98,231,login,2026-03-08 00:48:46.969179
99,298,login,2026-02-11 23:48:06.969179
100,445,login,2026-01-13 05:16:47.969179
101,105,transfer,2026-01-07 07:34:06.969179
102,638,transfer,2026-02-13 20:26:21.969179
103,883,transfer,2026-03-12 12:28:27.969179
104,299,payment_click,2026-02-10 21:38:42.969179
