transaction_id,user_id,amount,transaction_type,status,timestamp
1,220,30.46,deposit,failed,2026-01-05 15:10:40.969179
2,903,30.46,deposit,success,2026-03-13 07:13:16.969179
3,163,30.46,payment,success,2026-01-28 18:00:14.969179
4,951,30.46,deposit,success,2026-03-03 01:27:02.969179
5,220,30.46,deposit,success,2026-03-13 13:07:05.969179
6,270,30.46,payment,success,2026-03-02 06:49:57.969179
7,632,30.46,payment,success,2026-01-20 06:41:40.969179
8,906,30.46,withdrawal,success,2026-02-13 06:48:22.969179
9,848,30.46,withdrawal,success,2026-02-04 19:57:32.969179
10,400,30.46,deposit,success,2026-03-09 05:17:27.969179
11,182,30.46,deposit,success,2026-03-03 08:00:22.969179
12,991,30.46,deposit,success,2026-03-02 03:09:05.969179
13,618,30.46,withdrawal,success,2026-01-05 07:16:39.969179
14,729,30.46,payment,success,2026-02-02 20:55:31.969179
15,205,30.46,deposit,success,2026-03-04 06:56:42.969179
16,582,30.46,withdrawal,success,2026-03-18 19:24:39.969179
17,556,30.46,deposit,success,2026-03-21 17:47:45.969179
18,841,30.46,withdrawal,success,2026-03-09 20:19:30.969179
19,813,30.46,deposit,failed,2025-12-29 23:39:33.969179
20,228,30.46,deposit,success,2026-01-19 01:34:50.969179
21,696,30.46,payment,success,2026-03-07 20:18:52.969179
22,619,30.46,withdrawal,success,2026-01-09 05:33:07.969179
23,596,30.46,withdrawal,success,2026-02-08 00:49:29.969179
24,850,30.46,deposit,success,2026-03-03 11:15:15.969179
25,250,30.46,deposit,success,2026-01-08 19:02:27.969179
26,875,30.46,deposit,success,2026-01-11 01:39:02.969179
27,441,30.46,payment,success,2026-02-14 10:59:26.969179
28,533,30.46,payment,success,2026-02-26 10:47:44.969179
29,196,30.46,withdrawal,success,2026-02-10 23:26:34.969179
30,690,30.46,deposit,success,2026-03-25 20:45:36.969179
31,929,30.46,payment,success,2025-12-29 01:05:00.969179
32,987,30.46,withdrawal,success,2026-01-08 13:56:26.969179
33,519,30.46,withdrawal,success,2026-03-16 22:27:48.969179
34,70,30.46,deposit,success,2026-01-23 15:55:55.969179
35,639,30.46,payment,success,2026-03-26 05:06:16.969179
36,399,30.46,withdrawal,success,2026-03-06 01:44:25.969179
37,978,30.46,payment,success,2026-03-26 08:17:33.969179
38,672,30.46,payment,success,2026-02-22 22:31:52.969179
39,760,30.46,deposit,failed,2026-02-18 12:17:05.969179
40,203,30.46,payment,success,2026-02-18 10:29:35.969179
41,148,30.46,payment,success,2026-01-04 21:54:16.969179
42,472,30.46,deposit,success,2026-02-02 18:48:39.969179
43,655,30.46,deposit,success,2026-02-01 13:34:49.969179
44,944,30.46,deposit,success,2026-01-10 08:08:29.969179
45,199,30.46,withdrawal,success,2026-03-01 22:03:31.969179
46,917,30.46,deposit,success,2026-03-14 18:01:01.969179
47,426,30.46,withdrawal,success,2026-01-25 18:42:38.969179
48,666,30.46,deposit,success,2026-01-20 09:40:55.969179
49,492,30.46,payment,success,2026-01-04 11:55:56.969179
50,888,30.46,deposit,success,2026-02-15 19:55:46.969179
51,896,30.46,deposit,success,2026-01-01 03:46:53.969179
52,142,30.46,withdrawal,success,2026-02-15 09:42:47.969179
53,313,30.46,withdrawal,success,2026-03-29 00:07:13.969179
54,165,30.46,deposit,success,2025-12-29 23:45:34.969179
55,314,30.46,deposit,success,2026-03-26 04:04:36.969179
56,21,30.46,deposit,success,2026-01-29 06:06:17.969179
57,82,30.46,payment,success,2026-01-10 10:43:39.969179
58,581,30.46,payment,success,2026-03-08 00:13:38.969179
